,arquivo,lon,lat,linha,nome,information,rua,bairro
0,downloads/1029.kml,-35.26302890852094,-5.724837854504585,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'office': 'rua tal lalala 16 postes', 'road': 'Rua Apostolo Simão', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59139340', 'country': 'Brasil', 'country_code': 'br'}",Rua Apostolo Simão,Lagoa Azul
4,downloads/1029.kml,-35.26319512166083,-5.725563140586019,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Guararapes', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59139340', 'country': 'Brasil', 'country_code': 'br'}",Avenida Guararapes,Lagoa Azul
8,downloads/1029.kml,-35.262505793944,-5.726025905460119,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida dos Caboclinhos', 'neighbourhood': 'Nova Natal', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59139340', 'country': 'Brasil', 'country_code': 'br'}",Avenida dos Caboclinhos,Lagoa Azul
28,downloads/1029.kml,-35.264707049354904,-5.729591818526387,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Oficina do Açu', 'neighbourhood': 'Nova Natal', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59139340', 'country': 'Brasil', 'country_code': 'br'}",Rua Oficina do Açu,Lagoa Azul
44,downloads/1029.kml,-35.266553079709404,-5.732530513778329,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida da Chegança', 'neighbourhood': 'Nova Natal', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59139340', 'country': 'Brasil', 'country_code': 'br'}",Avenida da Chegança,Lagoa Azul
80,downloads/1029.kml,-35.260734530165784,-5.7365568447858095,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida das Cirandas', 'neighbourhood': 'Nova Natal', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59135-500', 'country': 'Brasil', 'country_code': 'br'}",Avenida das Cirandas,Lagoa Azul
82,downloads/1029.kml,-35.26105404831468,-5.736912908032537,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Bela Vista', 'neighbourhood': 'José Sarney', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59129600', 'country': 'Brasil', 'country_code': 'br'}",Rua Bela Vista,Lagoa Azul
101,downloads/1029.kml,-35.262571508064866,-5.740621397271752,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Sao Martinho', 'neighbourhood': 'Cidade Praia', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59112-490', 'country': 'Brasil', 'country_code': 'br'}",Rua Sao Martinho,Lagoa Azul
120,downloads/1029.kml,-35.26277535595,-5.744678154587746,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Três Americas', 'neighbourhood': 'Cidade Praia', 'suburb': 'Lagoa Azul', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59112-490', 'country': 'Brasil', 'country_code': 'br'}",Avenida Três Americas,Lagoa Azul
128,downloads/1029.kml,-35.26275339536369,-5.746326288208365,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Cidade Praia', 'neighbourhood': 'José Sarney', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59112-490', 'country': 'Brasil', 'country_code': 'br'}",Avenida Cidade Praia,Potengi
